time,Humedad,Luminosidad,Temperatura Predicha
2025-05-23T13:22:51.638116Z,65.0,232.0,31.01
2025-05-23T13:22:53.593203Z,73.0,135.0,20.13
2025-05-23T13:22:56.109345Z,61.0,169.0,21.08
2025-05-23T13:22:57.592729Z,84.0,154.0,23.29
2025-05-23T13:22:59.674334Z,70.0,140.0,19.19
2025-05-23T13:23:01.627503Z,80.0,241.0,25.8
2025-05-23T13:23:03.676022Z,86.0,392.0,23.76
2025-05-23T13:23:05.640850Z,75.0,215.0,23.56
2025-05-23T13:23:07.792067Z,65.0,204.0,27.23
2025-05-23T13:23:09.664265Z,61.0,126.0,20.03
2025-05-23T13:23:12.639231Z,89.0,370.0,25.02
2025-05-23T13:23:13.663263Z,67.0,187.0,25.72
2025-05-23T13:23:15.609348Z,71.0,246.0,29.14
2025-05-23T13:23:17.669773Z,74.0,382.0,28.05
2025-05-23T13:23:19.615078Z,60.0,124.0,28.95
2025-05-23T13:23:21.801492Z,74.0,286.0,29.12
2025-05-23T13:23:23.659384Z,74.0,228.0,23.29
2025-05-23T13:23:25.624169Z,65.0,231.0,28.72
2025-05-23T13:23:27.663401Z,67.0,178.0,31.63
2025-05-23T13:23:29.613213Z,74.0,207.0,21.82
2025-05-23T13:23:31.628311Z,69.0,302.0,24.27
2025-05-23T13:23:33.622958Z,79.0,311.0,26.41
2025-05-23T13:23:35.628983Z,62.0,205.0,20.84
2025-05-23T13:23:37.711509Z,74.0,363.0,23.34
2025-05-23T13:23:39.639166Z,61.0,101.0,27.04
2025-05-23T13:23:41.678072Z,83.0,357.0,24.53
2025-05-23T13:23:43.602660Z,88.0,277.0,27.86
2025-05-23T13:23:45.627803Z,81.0,381.0,26.54
2025-05-23T13:23:47.626084Z,87.0,302.0,21.28
2025-05-23T13:23:49.716865Z,61.0,152.0,22.94
2025-05-23T13:23:51.644021Z,60.0,338.0,24.39
2025-05-23T13:23:53.841196Z,74.0,325.0,30.8
2025-05-23T13:23:55.628777Z,87.0,124.0,22.6
2025-05-23T13:23:57.645369Z,82.0,272.0,22.39
2025-05-23T13:23:59.990716Z,72.0,103.0,25.77
2025-05-23T13:24:01.623879Z,83.0,104.0,24.87
2025-05-23T13:24:03.653353Z,63.0,176.0,27.4
2025-05-23T13:24:05.647756Z,63.0,264.0,24.92
2025-05-23T13:24:07.631498Z,74.0,352.0,27.92
2025-05-23T13:24:09.642507Z,76.0,178.0,22.51
2025-05-23T13:24:11.626620Z,68.0,118.0,24.37
2025-05-23T13:24:13.652373Z,61.0,364.0,27.95
2025-05-23T13:24:15.919733Z,73.0,181.0,22.64
2025-05-23T13:24:17.650813Z,72.0,220.0,26.2
2025-05-23T13:24:19.644479Z,79.0,346.0,25.65
2025-05-23T13:24:21.644403Z,69.0,335.0,24.59
2025-05-23T13:24:23.643402Z,77.0,191.0,20.21
2025-05-23T13:24:25.642203Z,80.0,228.0,21.57
2025-05-23T13:24:27.634057Z,76.0,272.0,22.45
2025-05-23T13:24:29.628998Z,63.0,301.0,21.6
2025-05-23T13:24:31.634584Z,70.0,257.0,20.86
2025-05-23T13:24:33.783021Z,82.0,157.0,24.03
2025-05-23T13:24:35.793988Z,88.0,293.0,19.32
2025-05-23T13:24:37.643497Z,83.0,229.0,22.17
2025-05-23T13:24:39.971508Z,84.0,191.0,28.96
2025-05-23T13:24:41.668807Z,64.0,310.0,30.26
2025-05-23T13:24:43.837035Z,70.0,316.0,30.7
2025-05-23T13:24:45.670141Z,73.0,141.0,21.21
2025-05-23T13:24:47.663100Z,82.0,139.0,21.83
2025-05-23T13:24:49.663210Z,76.0,307.0,31.28
2025-05-23T13:24:51.708016Z,73.0,210.0,25.09
2025-05-23T13:24:53.648362Z,74.0,334.0,24.44
2025-05-23T13:24:55.663014Z,76.0,354.0,20.17
2025-05-23T13:24:57.648048Z,76.0,253.0,27.24
2025-05-23T13:24:59.643271Z,87.0,382.0,26.94
2025-05-23T13:25:01.749227Z,78.0,295.0,26.13
2025-05-23T13:25:04.037974Z,85.0,323.0,20.7
2025-05-23T13:25:05.657338Z,64.0,305.0,21.11
2025-05-23T13:25:07.673056Z,72.0,333.0,21.62
2025-05-23T13:25:09.708291Z,86.0,175.0,22.52
2025-05-23T13:25:11.701394Z,80.0,288.0,18.88
2025-05-23T13:25:13.767488Z,76.0,198.0,23.36
2025-05-23T13:25:15.737393Z,82.0,280.0,20.69
2025-05-23T13:25:17.662180Z,68.0,393.0,30.9
2025-05-23T13:25:19.920867Z,77.0,297.0,24.24
2025-05-23T13:25:21.663906Z,75.0,143.0,27.8
2025-05-23T13:25:23.664593Z,65.0,260.0,25.44
2025-05-23T13:25:25.670545Z,75.0,146.0,29.02
2025-05-23T13:25:27.694544Z,70.0,205.0,29.99
2025-05-23T13:25:29.695099Z,76.0,169.0,21.14
2025-05-23T13:25:31.663041Z,75.0,163.0,18.6
2025-05-23T13:25:33.659201Z,76.0,328.0,19.18
2025-05-23T13:25:35.774886Z,85.0,330.0,30.13
2025-05-23T13:25:37.804207Z,77.0,395.0,23.02
2025-05-23T13:25:39.683930Z,77.0,115.0,26.19
2025-05-23T13:25:41.725524Z,75.0,326.0,27.57
2025-05-23T13:25:43.888200Z,75.0,187.0,28.82
2025-05-23T13:25:45.685945Z,80.0,237.0,19.99
2025-05-23T13:25:47.691002Z,81.0,276.0,27.97
2025-05-23T13:25:49.685462Z,63.0,236.0,24.48
2025-05-23T13:25:51.685393Z,81.0,162.0,20.9
2025-05-23T13:25:53.706982Z,70.0,301.0,18.21
2025-05-23T13:25:55.673840Z,61.0,194.0,23.44
2025-05-23T13:25:57.781066Z,79.0,311.0,26.41
2025-05-23T13:25:59.691606Z,85.0,255.0,27.38
2025-05-23T13:26:01.805568Z,86.0,262.0,22.94
2025-05-23T13:26:03.675198Z,88.0,387.0,22.92
2025-05-23T13:26:05.690104Z,69.0,143.0,27.11
2025-05-23T13:26:07.687116Z,60.0,373.0,19.85
2025-05-23T13:26:09.705585Z,68.0,242.0,26.79
2025-05-23T13:26:11.685884Z,86.0,270.0,23.45
2025-05-23T13:26:13.730061Z,71.0,186.0,23.95
2025-05-23T13:26:15.717563Z,68.0,166.0,25.74
2025-05-23T13:26:17.694946Z,86.0,139.0,25.67
2025-05-23T13:26:19.764596Z,87.0,300.0,25.17
2025-05-23T13:26:21.712040Z,80.0,338.0,28.57
2025-05-23T13:26:23.923913Z,88.0,184.0,23.37
2025-05-23T13:26:25.924119Z,84.0,352.0,22.26
2025-05-23T13:26:28.083295Z,78.0,397.0,27.01
2025-05-23T13:26:29.822403Z,89.0,224.0,26.89
2025-05-23T13:26:31.793047Z,79.0,338.0,20.3
2025-05-23T13:26:33.721736Z,82.0,116.0,22.94
2025-05-23T13:26:35.707587Z,67.0,111.0,24.78
2025-05-23T13:26:38.004377Z,74.0,363.0,23.34
2025-05-23T13:26:39.702218Z,81.0,100.0,20.44
2025-05-23T13:26:41.706614Z,75.0,396.0,29.46
2025-05-23T13:26:43.753827Z,74.0,389.0,19.63
2025-05-23T13:26:46.003506Z,79.0,331.0,26.77
2025-05-23T13:26:47.932286Z,83.0,276.0,24.0
2025-05-23T13:26:49.720944Z,69.0,277.0,29.66
2025-05-23T13:26:51.765304Z,79.0,160.0,22.74
2025-05-23T13:26:53.726917Z,87.0,276.0,22.93
2025-05-23T13:26:55.709991Z,67.0,132.0,28.23
2025-05-23T13:26:57.845345Z,77.0,165.0,27.83
2025-05-23T13:26:59.766081Z,89.0,323.0,18.61
2025-05-23T13:27:01.729163Z,68.0,122.0,20.37
2025-05-23T13:27:03.708238Z,81.0,344.0,25.84
2025-05-23T13:27:05.728004Z,60.0,257.0,19.02
2025-05-23T13:27:07.741990Z,86.0,288.0,19.36
2025-05-23T13:27:10.005332Z,77.0,258.0,26.28
2025-05-23T13:27:11.948106Z,62.0,127.0,24.69
2025-05-23T13:27:13.797979Z,60.0,374.0,19.45
2025-05-23T13:27:15.772672Z,87.0,395.0,21.07
2025-05-23T13:27:17.759387Z,79.0,229.0,28.82
2025-05-23T13:27:19.763228Z,81.0,289.0,26.64
2025-05-23T13:27:21.752724Z,78.0,260.0,24.14
2025-05-23T13:27:23.731519Z,64.0,122.0,28.02
2025-05-23T13:27:26.005089Z,62.0,333.0,26.79
2025-05-23T13:27:27.785651Z,80.0,134.0,24.44
2025-05-23T13:27:29.732053Z,75.0,155.0,23.38
2025-05-23T13:27:31.728416Z,67.0,141.0,22.7
2025-05-23T13:27:33.970795Z,75.0,333.0,27.5
2025-05-23T13:27:35.941377Z,66.0,226.0,31.7
2025-05-23T13:27:37.916537Z,68.0,105.0,25.36
2025-05-23T13:27:39.749008Z,76.0,325.0,26.55
2025-05-23T13:27:42.029283Z,69.0,107.0,23.09
2025-05-23T13:27:43.925792Z,89.0,339.0,21.34
2025-05-23T13:27:45.850184Z,72.0,232.0,23.51
2025-05-23T13:27:47.751128Z,87.0,214.0,29.1
2025-05-23T13:27:50.004926Z,78.0,259.0,24.95
2025-05-23T13:27:51.936456Z,69.0,377.0,28.9
2025-05-23T13:27:53.872188Z,74.0,352.0,27.92
2025-05-23T13:27:55.849953Z,87.0,358.0,25.5
2025-05-23T13:27:58.087547Z,67.0,154.0,26.02
2025-05-23T13:27:59.763254Z,64.0,345.0,26.44
2025-05-23T13:28:01.770937Z,65.0,398.0,26.12
2025-05-23T13:28:03.763353Z,68.0,169.0,20.87
2025-05-23T13:28:05.771931Z,68.0,391.0,26.05
2025-05-23T13:28:07.749234Z,75.0,227.0,24.83
2025-05-23T13:28:09.753144Z,66.0,189.0,26.23
2025-05-23T13:28:11.821282Z,61.0,324.0,16.78
2025-05-23T13:28:13.759944Z,89.0,230.0,26.73
2025-05-23T13:28:15.751120Z,74.0,174.0,20.68
2025-05-23T13:28:17.846800Z,61.0,399.0,26.32
2025-05-23T13:28:20.052529Z,88.0,397.0,21.9
2025-05-23T13:28:21.779087Z,72.0,137.0,29.13
2025-05-23T13:28:23.831904Z,79.0,240.0,24.5
2025-05-23T13:28:25.824311Z,75.0,360.0,28.51
2025-05-23T13:28:27.776720Z,85.0,220.0,21.01
2025-05-23T13:28:30.059015Z,81.0,153.0,22.45
2025-05-23T13:28:31.768532Z,74.0,308.0,30.08
2025-05-23T13:28:33.773810Z,63.0,167.0,26.03
2025-05-23T13:28:35.754926Z,64.0,303.0,22.04
2025-05-23T13:28:37.767182Z,61.0,103.0,25.59
2025-05-23T13:28:39.786828Z,87.0,166.0,29.45
2025-05-23T13:28:41.757970Z,80.0,386.0,27.54
2025-05-23T13:28:43.772240Z,87.0,279.0,24.25
2025-05-23T13:28:45.795411Z,76.0,130.0,22.25
2025-05-23T13:28:47.760990Z,68.0,157.0,24.69
2025-05-23T13:28:49.848105Z,77.0,312.0,25.09
2025-05-23T13:28:51.815486Z,85.0,331.0,26.96
2025-05-23T13:28:53.790734Z,62.0,134.0,24.4
2025-05-23T13:28:55.950180Z,84.0,102.0,30.01
2025-05-23T13:28:57.788994Z,60.0,374.0,19.45
2025-05-23T13:29:00.092338Z,77.0,250.0,27.74
2025-05-23T13:29:02.009926Z,85.0,208.0,25.5
2025-05-23T13:29:03.775973Z,88.0,278.0,28.56
2025-05-23T13:29:06.123837Z,72.0,381.0,24.21
2025-05-23T13:29:07.816602Z,63.0,256.0,24.58
2025-05-23T13:29:09.783385Z,64.0,318.0,27.02
2025-05-23T13:29:11.811444Z,86.0,344.0,26.57
2025-05-23T13:29:13.816673Z,75.0,385.0,26.18
2025-05-23T13:29:15.815594Z,66.0,284.0,27.94
2025-05-23T13:29:18.008636Z,68.0,307.0,30.7
2025-05-23T13:29:19.981243Z,62.0,245.0,24.66
2025-05-23T13:29:21.782035Z,69.0,223.0,23.29
2025-05-23T13:29:23.820598Z,63.0,266.0,26.26
2025-05-23T13:29:25.827069Z,60.0,176.0,28.05
2025-05-23T13:29:27.810034Z,82.0,264.0,26.7
2025-05-23T13:29:29.894274Z,88.0,192.0,18.59
2025-05-23T13:29:31.980496Z,76.0,129.0,23.12
2025-05-23T13:29:33.975838Z,89.0,160.0,27.56
2025-05-23T13:29:35.932638Z,79.0,292.0,23.94
2025-05-23T13:29:37.789228Z,66.0,162.0,29.94
2025-05-23T13:29:40.090336Z,76.0,284.0,21.81
2025-05-23T13:29:41.830992Z,69.0,283.0,27.56
2025-05-23T13:29:43.929588Z,88.0,137.0,24.65
2025-05-23T13:29:45.812540Z,67.0,161.0,24.18
2025-05-23T13:29:47.886353Z,71.0,127.0,23.29
2025-05-23T13:29:49.817352Z,76.0,359.0,29.04
2025-05-23T13:29:51.816739Z,75.0,145.0,28.61
2025-05-23T13:29:53.851056Z,80.0,344.0,17.79
2025-05-23T13:29:55.887644Z,60.0,307.0,26.68
2025-05-23T13:29:57.814039Z,88.0,365.0,25.31
2025-05-23T13:29:59.898393Z,75.0,322.0,27.41
2025-05-23T13:30:01.824058Z,65.0,140.0,26.42
2025-05-23T13:30:03.824806Z,72.0,346.0,25.43
2025-05-23T13:30:05.816277Z,69.0,247.0,24.55
2025-05-23T13:30:07.931250Z,74.0,249.0,21.58
2025-05-23T13:30:09.882084Z,89.0,278.0,21.96
2025-05-23T13:30:11.845638Z,71.0,138.0,28.45
2025-05-23T13:30:13.887767Z,74.0,316.0,19.01
2025-05-23T13:30:15.814043Z,86.0,115.0,27.16
2025-05-23T13:30:17.897940Z,74.0,349.0,24.44
2025-05-23T13:30:19.829796Z,75.0,121.0,21.26
2025-05-23T13:30:21.824837Z,67.0,121.0,27.02
2025-05-23T13:30:24.149848Z,69.0,288.0,23.55
2025-05-23T13:30:25.818000Z,68.0,306.0,30.02
2025-05-23T13:30:27.835778Z,67.0,306.0,27.56
2025-05-23T13:30:30.057109Z,75.0,242.0,24.66
2025-05-23T13:30:31.882354Z,71.0,343.0,21.66
2025-05-23T13:30:33.834670Z,77.0,244.0,27.22
2025-05-23T13:30:35.835018Z,60.0,193.0,19.89
2025-05-23T13:30:37.876060Z,74.0,160.0,22.22
2025-05-23T13:30:39.821022Z,76.0,112.0,18.2
2025-05-23T13:30:41.884508Z,81.0,131.0,27.91
2025-05-23T13:30:43.865168Z,74.0,200.0,24.9
2025-05-23T13:30:45.867345Z,69.0,352.0,24.29
2025-05-23T13:30:48.229107Z,69.0,289.0,23.47
2025-05-23T13:30:49.890267Z,66.0,178.0,29.54
2025-05-23T13:30:51.835454Z,69.0,245.0,29.03
2025-05-23T13:30:53.862187Z,83.0,259.0,25.31
2025-05-23T13:30:55.853485Z,85.0,294.0,23.78
2025-05-23T13:30:57.899187Z,80.0,108.0,22.42
2025-05-23T13:30:59.956299Z,75.0,132.0,22.94
2025-05-23T13:31:02.059953Z,70.0,215.0,30.35
2025-05-23T13:31:03.990568Z,80.0,158.0,21.47
2025-05-23T13:31:05.864937Z,68.0,219.0,26.21
2025-05-23T13:31:07.935707Z,73.0,255.0,26.66
2025-05-23T13:31:09.835102Z,71.0,358.0,28.08
2025-05-23T13:31:12.787348Z,87.0,372.0,31.79
2025-05-23T13:31:13.875384Z,78.0,223.0,21.8
2025-05-23T13:31:15.865979Z,66.0,182.0,26.73
2025-05-23T13:31:17.870172Z,78.0,393.0,30.38
2025-05-23T13:31:19.871240Z,68.0,250.0,21.96
2025-05-23T13:31:21.856414Z,71.0,294.0,27.61
2025-05-23T13:31:23.857943Z,66.0,201.0,28.02
2025-05-23T13:31:25.892785Z,79.0,236.0,28.63
2025-05-23T13:31:27.856029Z,82.0,344.0,25.61
2025-05-23T13:31:30.185020Z,77.0,146.0,26.71
2025-05-23T13:31:31.847076Z,76.0,186.0,19.93
2025-05-23T13:31:33.848626Z,63.0,262.0,28.4
2025-05-23T13:31:35.856616Z,65.0,240.0,25.37
2025-05-23T13:31:38.031643Z,69.0,344.0,29.64
2025-05-23T13:31:39.927738Z,73.0,132.0,24.83
2025-05-23T13:31:41.858439Z,81.0,151.0,22.08
2025-05-23T13:31:43.858626Z,74.0,384.0,28.88
2025-05-23T13:31:45.882101Z,62.0,184.0,19.58
2025-05-23T13:31:47.937750Z,78.0,254.0,21.28
2025-05-23T13:31:49.866915Z,88.0,200.0,23.3
2025-05-23T13:31:51.877762Z,79.0,101.0,24.97
2025-05-23T13:31:53.868389Z,77.0,128.0,23.27
2025-05-23T13:31:56.106886Z,67.0,222.0,25.43
2025-05-23T13:31:57.916278Z,85.0,323.0,20.7
2025-05-23T13:31:59.878313Z,63.0,324.0,19.48
2025-05-23T13:32:02.077671Z,67.0,332.0,27.18
2025-05-23T13:32:03.948778Z,73.0,115.0,27.62
2025-05-23T13:32:05.966509Z,89.0,330.0,27.95
2025-05-23T13:32:07.887205Z,81.0,176.0,26.36
2025-05-23T13:32:10.026441Z,79.0,250.0,26.06
2025-05-23T13:32:11.876788Z,60.0,169.0,19.69
2025-05-23T13:32:13.898532Z,74.0,304.0,20.41
2025-05-23T13:32:16.317506Z,77.0,276.0,18.58
2025-05-23T13:32:18.196454Z,81.0,169.0,23.28
2025-05-23T13:32:20.402297Z,87.0,191.0,28.55
2025-05-23T13:32:22.019778Z,75.0,361.0,26.84
2025-05-23T13:32:23.995405Z,85.0,123.0,24.24
2025-05-23T13:32:25.883480Z,87.0,115.0,25.78
2025-05-23T13:32:27.887794Z,67.0,253.0,27.38
2025-05-23T13:32:30.118950Z,65.0,116.0,24.67
2025-05-23T13:39:40.258477Z,78.0,398.0,31.31
2025-05-23T13:39:42.315242Z,81.0,100.0,20.44
2025-05-23T13:39:44.365301Z,87.0,268.0,27.18
2025-05-23T13:39:46.289726Z,76.0,111.0,20.39
2025-05-23T13:39:48.642548Z,80.0,258.0,24.66
2025-05-23T13:39:50.253523Z,82.0,208.0,29.19
2025-05-23T13:39:52.292370Z,75.0,306.0,29.47
2025-05-23T13:39:54.253534Z,62.0,145.0,28.4
2025-05-23T13:39:56.265501Z,81.0,134.0,26.74
2025-05-23T13:39:58.266171Z,69.0,378.0,27.63
2025-05-23T13:40:00.286258Z,87.0,343.0,30.44
2025-05-23T13:40:02.593169Z,80.0,250.0,27.71
2025-05-23T13:40:04.263204Z,69.0,361.0,26.88
2025-05-23T13:40:06.444178Z,73.0,147.0,27.86
2025-05-23T13:40:08.264196Z,60.0,334.0,26.6
2025-05-23T13:40:10.383356Z,61.0,178.0,23.82
2025-05-23T13:40:12.298221Z,73.0,155.0,25.86
2025-05-23T13:40:14.283005Z,71.0,129.0,23.84
